sample_accession,sample_name,assembler,assembly_type,assembly_accession,FASTA
ERS3190300,10676_0051,IDBA-UD,single sample,ERZ1024287,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024287/10676_0051_idba.fa.gz
ERS3190293,10676_0037,IDBA-UD,single sample,ERZ1024288,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024288/10676_0037_idba.fa.gz
ERS3190295,10676_0039,IDBA-UD,single sample,ERZ1024290,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024290/10676_0039_idba.fa.gz
ERS3190264,10676_0050,IDBA-UD,single sample,ERZ1024291,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024291/10676_0050_idba.fa.gz
ERS3190303,10676_0047,IDBA-UD,single sample,ERZ1024292,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024292/10676_0047_idba.fa.gz
ERS3190279,10676_0023,IDBA-UD,single sample,ERZ1024293,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024293/10676_0023_idba.fa.gz
ERS3190265,10676_0009,IDBA-UD,single sample,ERZ1024294,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024294/10676_0009_idba.fa.gz
ERS3190280,10676_0024,IDBA-UD,single sample,ERZ1024295,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024295/10676_0024_idba.fa.gz
ERS3190270,10676_0014,IDBA-UD,single sample,ERZ1024302,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1024302/10676_0014_idba.fa.gz
ERS3559077,10572_coassembly,MEGAHIT,co-assembly,ERZ1029110,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1029110/10572_coassembly_megahit_2kb.fa.gz
ERS3559072,10674_coassembly,MEGAHIT,co-assembly,ERZ1029111,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1029111/10674_coassembly_megahit_2kb.fa.gz
ERS3559074,10676_coassembly,MEGAHIT,co-assembly,ERZ1029112,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1029112/10676_coassembly_megahit_2kb.fa.gz
ERS3559073,10675_coassembly,MEGAHIT,co-assembly,ERZ1029114,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1029114/10675_coassembly_megahit_2kb.fa.gz
ERS3559075,10677_coassembly,MEGAHIT,co-assembly,ERZ1029115,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1029115/10677_coassembly_megahit_2kb.fa.gz
ERS3559076,10678_coassembly,MEGAHIT,co-assembly,ERZ1029116,ftp.sra.ebi.ac.uk/vol1/ERZ102/ERZ1029116/10678_coassembly_megahit_2kb.fa.gz
ERS3190188,10674_0028,IDBA-UD,single sample,ERZ913594,ftp.sra.ebi.ac.uk/vol1/ERZ913/ERZ913594/10674_0028_idba.fa.gz
